Rank,Word,Freq,Caps
277,story,319852,0.05
278,power,319416,0.09
279,group,319261,0.11
280,four,319239,0.11
281,mother,318786,0.13
282,having,318644,0.09
283,name,317460,0.04
284,woman,317165,0.13
285,war,316609,0.31
286,information,314377,0.08
287,problem,314233,0.03
288,job,313048,0.03
289,later,312118,0.10
290,already,311672,0.03
291,game,311458,0.09
292,black,310554,0.28
293,hard,308390,0.04
294,making,308163,0.05
295,looking,306321,0.07
296,asked,304978,0.02
297,million,304230,0.01
298,book,303554,0.08
299,together,303489,0.04
300,face,303463,0.04
301,health,300735,0.21
302,united,300092,0.97
303,question,299932,0.04
304,hand,299551,0.03
305,father,299459,0.15
306,person,297524,0.02
307,young,296724,0.13
308,often,295831,0.04
309,ago,295541,0.01
310,seen,294380,0.01
311,past,293944,0.02
312,social,290452,0.18
313,news,289547,0.36
314,bad,286991,0.07
315,play,286696,0.04
316,try,286552,0.10
317,coming,286229,0.08
318,company,285648,0.10
319,others,285353,0.08
320,side,285004,0.05
321,team,284873,0.07
322,read,282747,0.09
323,whether,281137,0.10
324,able,279622,0.01
325,almost,279516,0.08
326,political,279516,0.05
327,live,279002,0.08
328,knew,278209,0.01
329,law,277444,0.14
330,become,276547,0.01
331,start,275954,0.07
332,saying,274341,0.02
333,open,273322,0.13
334,working,272206,0.06
335,whole,271161,0.03
336,support,270982,0.03
337,stop,270980,0.19
338,york,270647,1.00
339,five,270338,0.12
340,probably,269897,0.08
341,saw,269465,0.02
342,among,267844,0.13
343,using,267406,0.09
344,research,266341,0.21
345,guy,264953,0.07
346,idea,264893,0.02
347,run,264197,0.06
348,makes,263882,0.06
349,early,262854,0.08
350,else,262260,0.01
351,including,261876,0.01
352,study,261496,0.06
353,john,261313,0.99
354,understand,261063,0.02
355,top,260825,0.11
356,human,257774,0.11
357,university,256738,0.81
358,talking,256696,0.03
359,free,256574,0.13
360,along,255995,0.05
361,within,255537,0.08
362,history,253704,0.12
363,morning,253007,0.10
364,eyes,251908,0.03
365,several,251581,0.11
366,line,248583,0.06
367,ask,247925,0.08
368,mind,247644,0.04
369,please,247643,0.45
370,program,247198,0.09
371,across,246968,0.04
372,kids,244758,0.07
373,car,244677,0.04
374,behind,244552,0.06
375,party,243697,0.27
376,child,242585,0.07
377,america,241743,0.99
378,everyone,241508,0.19
379,body,240278,0.04
380,remember,239818,0.17
381,example,239716,0.02
382,sorry,237629,0.28
383,hear,237525,0.03
384,control,237510,0.08
385,given,237413,0.11
386,rather,236879,0.11
387,means,235361,0.02
388,data,235073,0.09
389,obama,235051,0.99
390,started,234505,0.01
391,office,234258,0.18
392,community,233823,0.11
393,wrong,233691,0.04
394,months,232486,0.01
395,friends,232421,0.06
396,general,231978,0.32
397,matter,231673,0.02
398,move,231115,0.08
399,education,230502,0.21
400,food,230398,0.11
401,heard,230159,0.02
402,looked,228872,0.01
403,either,228847,0.07
404,himself,228764,0.02
405,happened,227942,0.01
406,large,227659,0.03
407,guys,226717,0.08
408,sense,225488,0.02
409,center,225284,0.49
410,pay,223592,0.04
411,leave,223458,0.09
412,order,222743,0.06
413,music,222578,0.15
414,pretty,222515,0.07
415,taking,221429,0.06
416,police,220863,0.19
417,process,220128,0.02
418,turn,219696,0.08
419,comes,219194,0.02
420,lost,219171,0.06
421,future,218731,0.07
422,court,217929,0.38
423,table,216451,0.39
424,half,215810,0.06
425,close,215779,0.06
426,hope,215553,0.10
427,light,215115,0.08
428,minutes,214828,0.04
429,seems,214690,0.04
430,parents,214632,0.06
431,possible,213993,0.02
432,reason,213979,0.02
433,bit,213633,0.01
434,experience,213126,0.03
435,area,213061,0.08
436,words,212573,0.03
437,although,212476,0.53
438,wait,211573,0.34
439,door,210291,0.02
440,felt,210159,0.01
441,according,209849,0.33
442,air,209488,0.21
443,full,208839,0.05
444,deal,208688,0.05
445,anyone,208054,0.10
446,death,207846,0.09
447,local,206626,0.06
448,hours,205369,0.03
449,thanks,204900,0.62
450,issue,203757,0.02
451,stay,203720,0.16
452,age,203043,0.12
453,front,202648,0.04
454,sometimes,201959,0.30
455,instead,201311,0.32
456,moment,200434,0.02
457,living,199745,0.07
458,college,199358,0.29
459,girl,198734,0.10
460,needs,198688,0.02
461,ok,198588,0.88
462,plan,198585,0.08
463,turned,198282,0.01
464,dr,197700,0.99
465,bring,197531,0.09
466,level,197090,0.03
467,major,196857,0.10
468,washington,196538,1.00
469,clear,195945,0.05
470,bill,195178,0.57
471,outside,195161,0.06
472,service,194554,0.23
473,heart,193295,0.08
474,friend,193156,0.03
475,taken,192392,0.02
